"","is_weekday","variable","Total","Social","Pickups","prop","duration","procrastination","BMI","course","Pickup.1st.angular"
"1",0,"mean",307.333333333333,165,75.7777777777778,0.543562041913634,4.24982395208431,44,19.6,16,132.524193548387
"2",0,"sd",125.680149586162,58.1098098430893,18.7134829586703,0.0806296788476872,1.79195394727124,0,0,0,13.016712788871
"3",0,"q1",233,150,67,0.490909090909091,3.3298969072165,44,19.6,16,117.75
"4",0,"q3",323,202,91,0.607046070460705,6.21153846153846,44,19.6,16,141.125
"5",0,"min",159,75,44,0.414507772020725,1.85393258426966,44,19.6,16,110
"6",0,"max",579,240,97,0.648068669527897,6.63636363636364,44,19.6,16,155.25
"7",1,"mean",234.727272727273,115.090909090909,124.818181818182,0.496217434363505,1.93581985610149,44,19.6,16,132.524193548387
"8",1,"sd",70.8856771201293,39.4750181289009,33.1183108087129,0.115643750638436,0.58122723197142,0,0,0,13.016712788871
"9",1,"q1",183,88.5,109,0.435381494568774,1.46979476994373,44,19.6,16,117.75
"10",1,"q3",288.5,145.25,137.25,0.547506201854028,2.22081425768476,44,19.6,16,141.125
"11",1,"min",115,56,73,0.292349726775956,0.92741935483871,44,19.6,16,110
"12",1,"max",366,182,232,0.765625,3.02727272727273,44,19.6,16,155.25
