"","is_weekday","variable","Total","Social","Pickups","prop","duration"
"1",0,"mean",454.03125,141.4375,84.1875,0.320364060002473,6.73008518026282
"2",0,"sd",143.988907362853,68.2665258262576,43.843149683771,0.12408156082962,3.90751488433575
"3",0,"q1",352.25,100.25,53.75,0.226902946191739,3.92191259021652
"4",0,"q3",547.5,173.25,98,0.385761754720749,7.61
"5",0,"min",110,40,31,0.103896103896104,1
"6",0,"max",821,383,241,0.613569321533923,18.2941176470588
"7",1,"mean",428.25,114.45,126.05,0.29344276833883,4.12664623988332
"8",1,"sd",160.509017618457,43.5605748838388,39.5081270786551,0.121434985474877,2.76520249778897
"9",1,"q1",311.25,83,97.25,0.202882750206132,2.14878509082331
"10",1,"q3",551,136.75,153.25,0.359410350678733,6.23282828282828
"11",1,"min",193,56,53,0.112561174551387,1.08064516129032
"12",1,"max",743,194,203,0.574380165289256,10.0405405405405
