"","is_weekday","variable","variable_new","value"
"1",0,"mean","Total",481
"2",0,"mean","Social",150.4
"3",0,"mean","Pickups",75.1
"4",0,"mean","prop",0.317451041892145
"5",0,"mean","duration",7.51943500284224
"6",0,"mean","procrastination",65
"7",0,"mean","BMI",22.1
"8",0,"mean","course",17.5
"9",0,"mean","Pickup.1st.angular",105.370967741935
"10",0,"sd","Total",108.379989953045
"11",0,"sd","Social",58.4127079020006
"12",0,"sd","Pickups",27.8186588062361
"13",0,"sd","prop",0.115225625148316
"14",0,"sd","duration",3.51579044068651
"15",0,"sd","procrastination",0
"16",0,"sd","BMI",0
"17",0,"sd","course",0
"18",0,"sd","Pickup.1st.angular",20.903236488614
"19",0,"q1","Total",419.5
"20",0,"q1","Social",112.75
"21",0,"q1","Pickups",60.25
"22",0,"q1","prop",0.223578018084066
"23",0,"q1","duration",4.25900621118012
"24",0,"q1","procrastination",65
"25",0,"q1","BMI",22.1
"26",0,"q1","course",17.5
"27",0,"q1","Pickup.1st.angular",107.125
"28",0,"q3","Total",549.25
"29",0,"q3","Social",172.75
"30",0,"q3","Pickups",96.75
"31",0,"q3","prop",0.41049775137416
"32",0,"q3","duration",9.45550847457627
"33",0,"q3","procrastination",65
"34",0,"q3","BMI",22.1
"35",0,"q3","course",17.5
"36",0,"q3","Pickup.1st.angular",117.5
"37",0,"min","Total",341
"38",0,"min","Social",73
"39",0,"min","Pickups",25
"40",0,"min","prop",0.166414523449319
"41",0,"min","duration",3.37623762376238
"42",0,"min","procrastination",65
"43",0,"min","BMI",22.1
"44",0,"min","course",17.5
"45",0,"min","Pickup.1st.angular",32.75
"46",0,"max","Total",661
"47",0,"max","Social",238
"48",0,"max","Pickups",115
"49",0,"max","prop",0.466275659824047
"50",0,"max","duration",13.64
"51",0,"max","procrastination",65
"52",0,"max","BMI",22.1
"53",0,"max","course",17.5
"54",0,"max","Pickup.1st.angular",132.5
"55",1,"mean","Total",508.333333333333
"56",1,"mean","Social",153.285714285714
"57",1,"mean","Pickups",100.571428571429
"58",1,"mean","prop",0.322595462639626
"59",1,"mean","duration",6.46520808108404
"60",1,"mean","procrastination",65
"61",1,"mean","BMI",22.1
"62",1,"mean","course",17.5
"63",1,"mean","Pickup.1st.angular",105.370967741935
"64",1,"sd","Total",118.748614027
"65",1,"sd","Social",71.5570701308703
"66",1,"sd","Pickups",32.7147847747336
"67",1,"sd","prop",0.181320028630916
"68",1,"sd","duration",5.51684886166424
"69",1,"sd","procrastination",0
"70",1,"sd","BMI",0
"71",1,"sd","course",0
"72",1,"sd","Pickup.1st.angular",20.903236488614
"73",1,"q1","Total",416
"74",1,"q1","Social",107
"75",1,"q1","Pickups",83
"76",1,"q1","prop",0.187062937062937
"77",1,"q1","duration",3.84848484848485
"78",1,"q1","procrastination",65
"79",1,"q1","BMI",22.1
"80",1,"q1","course",17.5
"81",1,"q1","Pickup.1st.angular",107.125
"82",1,"q3","Total",571
"83",1,"q3","Social",172
"84",1,"q3","Pickups",120
"85",1,"q3","prop",0.392294220665499
"86",1,"q3","duration",6.40476190476191
"87",1,"q3","procrastination",65
"88",1,"q3","BMI",22.1
"89",1,"q3","course",17.5
"90",1,"q3","Pickup.1st.angular",117.5
"91",1,"min","Total",263
"92",1,"min","Social",61
"93",1,"min","Pickups",28
"94",1,"min","prop",0.116634799235182
"95",1,"min","duration",2.19166666666667
"96",1,"min","procrastination",65
"97",1,"min","BMI",22.1
"98",1,"min","course",17.5
"99",1,"min","Pickup.1st.angular",32.75
"100",1,"max","Total",744
"101",1,"max","Social",403
"102",1,"max","Pickups",160
"103",1,"max","prop",0.913832199546485
"104",1,"max","duration",26.5714285714286
"105",1,"max","procrastination",65
"106",1,"max","BMI",22.1
"107",1,"max","course",17.5
"108",1,"max","Pickup.1st.angular",132.5
